City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
154,Verkhnyaya Inta,RU,2021-03-25 12:42:33,65.9811,60.3094,33.24,98,100,20.4
155,Scarborough,GB,2021-03-25 12:42:33,54.2797,-0.4044,55.99,68,88,4.0
156,Los Llanos De Aridane,ES,2021-03-25 12:42:34,28.6585,-17.9182,71.6,73,0,10.36
157,Yala,TH,2021-03-25 12:42:34,6.3333,101.25,77.16,85,97,3.11
158,Kintinku,TZ,2021-03-25 12:42:34,-5.8833,35.2333,84.2,48,20,8.05
159,Severo-Kurilsk,RU,2021-03-25 12:42:35,50.6789,156.125,24.87,77,100,5.75
160,Machali,CL,2021-03-25 12:42:35,-34.1833,-70.6667,53.6,82,75,1.14
161,Pevek,RU,2021-03-25 12:42:35,69.7008,170.3133,-25.24,99,94,3.8
162,Surgut,RU,2021-03-25 12:38:20,61.25,73.4167,30.2,69,40,8.95
163,Methven,NZ,2021-03-25 12:42:36,-43.6333,171.65,54.0,94,0,5.21
164,Cabo San Lucas,MX,2021-03-25 12:41:14,22.8909,-109.9124,57.0,82,1,1.86
165,Union,US,2021-03-25 12:42:37,40.6334,-74.2663,53.6,100,90,5.75
166,Nanchang,CN,2021-03-25 12:42:37,28.6833,115.8833,63.48,62,0,3.67
167,Aguie,NE,2021-03-25 12:42:38,13.506,7.7786,96.75,7,99,2.48
168,Souillac,MU,2021-03-25 12:42:39,-20.5167,57.5167,80.6,83,75,3.44
169,Vostok,RU,2021-03-25 12:42:39,46.4856,135.8833,18.03,91,26,4.45
170,Marienburg,PL,2021-03-25 12:42:39,54.0359,19.0266,57.0,100,98,6.15
171,Hopelchen,MX,2021-03-25 12:42:40,19.7667,-89.85,77.61,74,15,8.34
172,Morondava,MG,2021-03-25 12:42:40,-20.2833,44.2833,81.93,66,0,9.44
173,Georgetown,MY,2021-03-25 12:41:58,5.4112,100.3354,82.0,83,40,5.75
174,Aberdeen,GB,2021-03-25 12:42:41,57.1437,-2.0981,53.01,66,40,16.11
175,Cherskiy,RU,2021-03-25 12:42:41,68.75,161.3,-21.12,97,99,2.44
176,Falkenstein,DE,2021-03-25 12:42:42,50.4779,12.3713,59.0,46,100,11.99
177,Faanui,PF,2021-03-25 12:42:42,-16.4833,-151.75,83.57,73,100,19.6
178,Marathon,US,2021-03-25 12:42:43,44.9,-89.7668,35.6,80,90,9.22
179,Chumikan,RU,2021-03-25 12:42:43,54.7183,135.315,8.06,95,35,2.77
180,Oyotun,PE,2021-03-25 12:42:43,-6.8519,-79.3036,68.0,88,0,10.36
181,Teguise,ES,2021-03-25 12:42:44,29.0605,-13.564,71.6,64,0,6.91
182,Oyama,JP,2021-03-25 12:42:44,36.3,139.8,61.0,93,75,2.3
183,Namatanai,PG,2021-03-25 12:41:48,-3.6667,152.4333,80.29,81,100,7.25
184,Kharitonovo,RU,2021-03-25 12:42:44,61.4009,47.4978,35.83,93,97,9.4
185,Wattegama,LK,2021-03-25 12:42:45,6.7989,81.4808,80.6,83,75,2.3
186,Alpena,US,2021-03-25 12:42:46,45.0617,-83.4327,42.01,81,90,6.91
187,Ambilobe,MG,2021-03-25 12:42:46,-13.2,49.05,83.46,81,88,4.54
188,San Cristobal,VE,2021-03-25 12:42:47,7.7669,-72.225,73.4,100,75,5.75
189,Rio Grande,BR,2021-03-25 12:42:47,-32.035,-52.0986,75.99,88,75,9.22
190,Gazanjyk,TM,2021-03-25 12:42:47,39.2446,55.5154,65.14,56,97,11.48
191,Ruwi,OM,2021-03-25 12:42:48,23.5996,58.5507,82.4,74,0,13.8
192,Zhezkazgan,KZ,2021-03-25 12:42:48,47.8043,67.7144,33.8,80,100,20.13
193,Port Lincoln,AU,2021-03-25 12:42:49,-34.7333,135.8667,60.1,66,100,3.4
194,Thompson,CA,2021-03-25 12:40:30,55.7435,-97.8558,-2.2,65,40,8.05
195,Cape Town,ZA,2021-03-25 12:39:15,-33.9258,18.4232,88.0,33,0,11.5
196,Aksarka,RU,2021-03-25 12:42:49,66.5606,67.7975,27.77,95,100,18.05
197,Lufilufi,WS,2021-03-25 12:42:50,-13.8745,-171.5986,77.0,94,20,4.61
198,Clyde River,CA,2021-03-25 12:42:51,70.4692,-68.5914,-9.4,77,90,14.97
199,Bonthe,SL,2021-03-25 12:42:52,7.5264,-12.505,85.39,64,61,11.86
200,Taoudenni,ML,2021-03-25 12:42:52,22.6783,-3.9836,83.73,8,0,19.37
