City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Nalut,LY,30.3333,10.85,49.71,37,1,9.78,clear sky
281,Hobyo,SO,5.3505,48.5268,84.02,61,51,14.7,broken clouds
282,Saldanha,ZA,-33.0117,17.9442,62.6,88,85,11.21,overcast clouds
283,Puerto Leguizamo,CO,-0.1934,-74.7819,69.89,99,85,2.66,overcast clouds
284,Moengo,SR,5.6167,-54.4,71.46,95,22,1.5,few clouds
285,Markova,UA,48.6758,24.4138,30.2,93,40,3.85,mist
286,Taltal,CL,-25.4,-70.4833,63.81,80,0,1.05,clear sky
287,Ossora,RU,59.2353,163.0719,9.7,91,59,5.84,broken clouds
288,Codrington,AU,-38.2667,141.9667,63.81,56,32,15.99,scattered clouds
289,Ust-Maya,RU,60.4167,134.5333,27.27,91,100,5.59,light snow
290,Kruisfontein,ZA,-34.0033,24.7314,69.01,69,0,3.0,clear sky
291,Kholtoson,RU,50.2981,103.3097,31.46,49,100,9.1,overcast clouds
292,Manta,EC,-0.95,-80.7333,73.45,86,71,5.37,broken clouds
293,Sorland,NO,67.667,12.6934,41.95,85,100,25.75,overcast clouds
294,Sitka,US,57.0531,-135.33,37.4,93,90,6.91,light rain
295,Ixtapa,MX,20.7,-105.2,66.99,84,32,2.75,scattered clouds
296,Lesozavodsk,RU,45.4794,133.4244,41.77,85,100,12.01,overcast clouds
297,Grand Gaube,MU,-20.0064,57.6608,84.99,71,22,3.0,few clouds
298,Nelson,NZ,-41.2833,173.2833,66.0,71,88,1.99,overcast clouds
299,Asau,RO,46.4333,26.4,37.99,86,81,4.61,broken clouds
300,Hukuntsi,BW,-24.0,21.75,68.7,66,11,7.49,few clouds
301,Vardo,NO,70.3705,31.1107,35.01,84,95,25.64,overcast clouds
302,Cairns,AU,-16.9167,145.7667,86.0,78,75,8.05,broken clouds
303,Sile,TR,41.1754,29.6133,46.99,76,0,6.91,clear sky
304,Meulaboh,ID,4.1363,96.1285,85.21,65,98,4.23,overcast clouds
305,Retz,AT,48.7494,15.9624,41.0,65,0,5.75,clear sky
306,Airai,TL,-8.9266,125.4092,68.83,84,98,2.01,overcast clouds
307,Salinas,US,36.6777,-121.6555,57.2,58,1,4.61,clear sky
308,San Francisco,US,37.7749,-122.4194,54.0,66,1,4.61,clear sky
309,Hay River,CA,60.8156,-115.7999,12.2,57,15,6.91,few clouds
310,Worthington,US,40.0931,-83.018,52.0,81,40,5.75,scattered clouds
311,Kismayo,SO,-0.3582,42.5454,83.46,63,89,14.88,overcast clouds
312,Zalantun,CN,48.0,122.7167,52.56,33,92,4.21,overcast clouds
313,Buedu,SL,8.2803,-10.3719,69.85,99,23,2.1,few clouds
314,Romny,UA,50.751,33.4747,38.79,90,99,7.05,overcast clouds
315,Fairbanks,US,64.8378,-147.7164,21.2,68,90,2.46,overcast clouds
316,Kimberley,ZA,-28.7323,24.7623,60.8,82,0,5.77,clear sky
317,Phanat Nikhom,TH,13.4458,101.1844,96.01,67,100,10.31,overcast clouds
318,San Cristobal,VE,7.7669,-72.225,66.61,90,100,1.16,overcast clouds
319,Kavaratti,IN,10.5669,72.642,83.52,72,94,2.39,overcast clouds
320,Amursk,RU,50.2261,136.8994,37.67,67,100,5.39,light rain
321,Bay Roberts,CA,47.5999,-53.2648,32.0,96,100,10.0,snow
322,Khash,IR,28.2211,61.2158,79.97,17,32,5.7,scattered clouds
323,Cuamba,MZ,-14.8031,36.5372,73.63,86,4,2.89,clear sky
324,Morondava,MG,-20.2833,44.2833,78.76,73,0,3.44,clear sky
325,Vani,GE,42.0832,42.5216,39.2,93,90,5.75,overcast clouds
326,Lavrentiya,RU,65.5833,-171.0,-2.65,88,100,5.66,overcast clouds
327,Soavinandriana,MG,-19.1667,46.7333,67.82,75,87,2.73,overcast clouds
328,Cidreira,BR,-30.1811,-50.2056,71.15,89,100,7.61,overcast clouds
329,Huarmey,PE,-10.0681,-78.1522,70.25,82,93,5.53,overcast clouds
330,Bukachacha,RU,52.9833,116.9167,34.83,73,100,4.36,overcast clouds
331,Mogadishu,SO,2.0371,45.3438,82.4,65,40,9.22,scattered clouds
332,Oussouye,SN,12.485,-16.5469,69.91,69,0,9.04,clear sky
333,Kyra,RU,49.5776,111.9753,43.11,42,97,16.2,overcast clouds
334,Alofi,NU,-19.0595,-169.9187,82.4,83,62,13.8,broken clouds
335,Coxim,BR,-18.5067,-54.76,70.54,63,1,0.94,clear sky
336,Keti Bandar,PK,24.1447,67.4497,86.07,43,3,15.23,clear sky
337,Lukaya,UG,-0.1489,31.8748,69.8,64,20,23.02,light rain
338,Laguna,US,38.421,-121.4238,55.4,44,1,2.57,clear sky
339,Pestovo,RU,58.5938,35.8024,34.11,84,97,2.01,overcast clouds
340,Udalguri,IN,26.7667,92.1333,93.11,9,0,5.93,clear sky
341,The Valley,AI,18.217,-63.0578,77.0,73,0,12.66,clear sky
342,Humberto De Campos,BR,-2.5983,-43.4611,72.61,98,100,0.78,overcast clouds
343,Bismarck,US,46.8083,-100.7837,36.0,64,90,3.44,overcast clouds
344,Ambon,ID,-3.6954,128.1814,86.0,70,40,8.05,scattered clouds
345,Chichester,GB,50.8367,-0.78,39.99,86,51,16.28,broken clouds
346,Gizo,SB,-8.103,156.8419,86.74,67,83,5.91,light rain
347,Beringovskiy,RU,63.05,179.3167,-3.15,93,59,5.64,broken clouds
348,Neuquen,AR,-38.9516,-68.0591,48.2,81,0,3.4,clear sky
349,Tela,HN,15.7833,-87.45,75.0,94,1,2.3,clear sky
